Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,102790,58522,17371,195509,52526,17178,23415,153381,22703823,45866,13921,144178,48923,67607,33183,208228,116318,373588,18356,140068,87610
500,111896,67529,19555,55108,46869,17047,25781,508996,129244,46205,15945,460775,39847,190858,34309,501658,69481,703848,14337,418571,252657
750,111310,70449,18630,51146,56716,16385,24867,1123154,142575,44423,15609,869378,41352,493463,32648,839588,65301,1368763,15303,718684,374285
1000,109658,76041,19217,49514,54193,15579,24006,1490127,145517,45493,16126,1183645,41164,694024,31831,1237522,57295,1747773,11944,1036157,694100
1250,114578,79295,19380,49108,39415,15664,23393,2155776,129146,46021,15949,1421378,46755,890616,33503,1921767,82673,1980632,13565,1285331,937490
1500,116938,81969,19189,50373,40537,17004,23925,2803630,124663,45951,16014,1957507,44402,1125438,33887,3347448,34584,1607844,14142,1569798,1019012
1750,117938,85309,19484,49895,37649,16756,23255,3470781,175602,45692,12925,2480814,41745,1411070,34392,4048478,37475,1990492,13317,1920530,1033692
2000,119536,85916,18970,52003,41143,16076,24030,4212749,121142,45998,10902,4598875,54711,1734024,34879,4859654,36439,2287124,12540,2178582,1320523
2250,122642,84459,20597,49622,40036,17714,23321,5046727,125923,45194,10797,9531400,53123,1979549,34689,5672989,113999,2689805,12371,2511369,1354708
2500,124500,88724,20454,45911,39249,17669,22570,5608488,131057,45574,10874,6794155,51746,2253351,37363,7997871,36465,3614609,13866,2807072,1537316
2750,132855,89307,20443,47330,50826,19849,21646,6425041,128828,46629,10905,6455112,46121,2633884,35495,7258139,38271,3537732,13179,3139248,3170694
3000,145352,92470,21435,48095,44342,20949,22065,6936035,134620,47664,10880,7254748,60185,2832319,35293,8517534,37164,5040579,11877,3431252,2275582
3250,162301,91528,21832,51837,40763,22752,22372,7570553,275755,48167,12128,9201992,54889,3104473,34749,9352148,36841,4447344,13014,3776410,2033120
3500,145852,91561,22000,50993,39026,16337,23157,8208204,92876,45272,15676,9619440,44789,3416292,31848,10169158,36537,4745159,13256,4128631,3385093
3750,141541,94061,22098,66192,34918,17834,25801,8423252,94755,48589,16143,10803884,43184,3759449,30228,11169608,34571,5430473,12707,4442946,4330757
4000,142478,94580,22011,49220,34873,16796,26364,8878876,98120,49704,15730,11428347,43628,4111138,30176,11695989,35298,5279963,14112,4757517,2395102
4250,146743,94827,22082,48355,35650,17649,24327,8737377,102029,48132,15789,12089312,45925,4412258,30901,12405791,189500,6116933,17950,5105596,2996266
4500,149548,96684,21552,48477,38522,17836,26308,9552406,101006,51381,15801,13139606,47363,4717451,31717,13161464,36040,5581347,13331,5385332,3124501
4750,168426,98480,32695,65226,37918,18321,25448,9642871,97166,51835,16054,13760148,51157,4989847,30136,13922343,35308,5997224,39151,5693489,2820863
5000,157445,100495,28036,61385,38560,17988,25292,10206536,99743,51124,18982,14462920,45592,5382078,30830,14675493,37653,6300655,27087,5970673,3327702
5250,147546,105866,29800,49301,36818,17797,25470,10503175,102946,82288,18044,15296068,43281,5698705,31103,15493988,36606,6495856,22659,6317389,3034301
5500,149685,104222,31723,49348,48083,17623,25340,10905268,100035,47724,17058,16176860,46133,5999539,30266,16379412,37416,7179665,27777,6628973,3183523
5750,146345,108185,23110,50596,51281,17529,26414,11524382,80619,49929,16210,17153515,41148,6255326,29611,17118349,35911,7124882,21313,6896715,3760192
6000,147888,106974,23540,46623,51904,16377,25727,11802747,94841,51306,16036,17815278,40301,6529432,32381,17990827,33393,7438989,20018,7242691,3553645
6250,147510,109556,22737,46122,53851,16730,25911,12266668,112314,49659,20563,18656759,42913,6897582,30755,18793822,36828,7746821,22508,7555265,3717443
6500,152702,108033,22064,45550,57088,17774,26156,12736131,866113,49998,21168,19428563,40154,7270296,29187,19607707,36639,8041345,22655,7872084,3861570
6750,157483,107138,21956,66328,58423,16986,26794,13266721,119426,51940,10826,20217863,45540,7573647,42992,20427282,36589,8515341,22352,8190144,4063375
7000,160717,108778,21776,48821,59035,15316,27545,13707690,119248,49938,10764,21001496,41868,7825798,33274,21766214,36244,8685246,18524,8502112,4242171
7250,157940,108583,21612,48805,57001,16214,25333,14206099,125706,50026,10737,21784901,40817,8088429,36334,22303543,35952,8993219,16498,8815155,4177527
7500,168692,110580,21493,48122,59864,14410,28067,14717948,124377,52025,10968,22554914,43448,8380300,34151,23730019,37330,9280643,19556,9160340,4425262
7750,170475,112390,22163,49632,59906,16311,26601,15242434,139711,53140,11787,23615258,40646,8677628,32190,23797993,35364,9636766,18533,9437318,4508069
8000,171686,113350,21539,50107,53393,15633,29151,15705749,128329,52683,11227,24167460,41575,8966869,36451,24543249,35379,9916908,20512,9783755,4669931
8250,184486,113741,21277,51901,56988,16618,29590,16282657,119524,52440,11061,24316967,56119,9330384,37801,24935371,339052,10351747,21272,10057861,4762406
8500,225380,112961,21276,50458,53930,14482,28960,16797493,93831,51545,10896,24536153,39979,9550845,39169,25217348,36227,10668119,13761,10400800,4906019
8750,245773,115311,22006,50167,48856,17109,27278,17231496,81877,51186,10719,24812511,40847,9866496,49134,25660702,35773,10917782,14540,10665840,5097490
9000,212576,112140,22668,48030,48344,15846,27096,17725850,80526,51496,10961,25085695,39025,10098664,50052,26008165,35479,11264186,12301,11013138,5210747
9250,181933,114511,22454,50020,51623,15649,24999,18211348,86056,53222,11155,25270469,39989,10418151,47137,26527068,36223,11578535,12801,11322061,5339757
9500,184778,114743,23167,51143,52330,16924,25416,18788943,86002,51946,11175,25646388,39744,10715565,48847,26725672,35531,11891287,13336,11676694,5518192
9750,218787,115189,23357,51425,55439,15237,25383,19298080,78726,54411,11061,25769988,42771,10967926,47349,27153661,37658,12840080,17178,11967102,5629281
10000,295789,115733,24223,49564,53125,17337,24812,19738852,78446,50983,11022,25993577,43230,11259990,55107,27368091,34961,12565058,17594,12313485,5818327
10250,336782,121335,24057,49641,51848,18976,25640,20160270,76804,54061,10775,26202269,44148,11535811,64152,27702805,33936,12882966,21064,12538403,5927221
10500,331954,118905,23754,50281,54151,17983,25773,21432740,78305,52322,10804,26453299,45676,11817265,50869,28051806,36545,13158981,25842,12847859,6103375
10750,335995,117214,24303,51080,47492,18927,25269,21445943,78870,54035,11019,26710510,43271,12211697,48067,28513446,35546,13454577,25836,13226768,6301190
11000,313907,120537,24205,54387,49074,17842,25502,21891364,79594,54454,10748,26906387,44953,12605483,44898,28887836,36735,13823028,28621,13500319,6412543
11250,320453,123680,24247,49420,47725,15909,25292,22277113,77997,55223,11040,27102914,41271,13114780,49902,29297204,36458,14263071,27998,13821881,6541998
11500,285259,121618,23691,49032,50447,15225,26809,22875399,80832,55253,11048,27546401,42772,13009189,45520,29775425,35086,14799516,25781,14103023,6651707
11750,316153,121666,23465,48988,43386,15155,24822,23283294,74083,54781,11023,27840865,40582,13255491,44420,29796346,34369,19028974,26837,14497636,6812736
12000,316298,124060,23037,47901,38214,15661,25457,23969576,75872,54533,10721,27911306,42718,13555452,48867,30297627,35983,15680471,29216,17580188,6987183
12250,374658,123679,32686,49624,38999,14393,25411,24447187,73190,55823,13127,28068975,45836,13930510,50237,30662730,33864,15371789,26856,15656486,7112849
12500,326706,122638,39964,49266,40107,15883,26441,25081288,84656,56556,10789,28291641,49060,14107696,53239,32342673,36253,15684253,26150,15499960,7263167
12750,355085,124861,48671,51617,53007,17419,25880,25556872,82098,56235,11004,28621189,48857,14470839,53741,31768690,37184,15996159,26103,19686919,7419819
13000,320494,124982,41328,46303,43037,23158,25054,26214305,1439855,57326,11227,28694096,40537,14776355,50376,34337173,33363,17757827,24221,15996064,7530116
13250,329576,126421,46594,50235,46803,22408,24637,26585167,104389,59633,11658,29144133,44119,15165256,51741,35163425,36741,20634792,26959,16300363,7736192
13500,306084,134833,39066,48447,41897,19759,24734,27339677,102345,55246,11344,29802141,44452,15287351,45832,33039003,36088,17338069,24443,16675627,7883606
13750,327170,133561,23373,49050,42417,14359,23762,29071193,101758,59446,11366,30086185,45393,15559441,44246,33507187,34833,17288785,26556,16955146,8750253
14000,282420,132270,23334,46373,42136,14908,24505,28983137,103840,56372,10870,38372278,47319,15872950,42701,33660630,34716,17757119,25738,17262506,8140735
14250,263946,130509,30717,42517,36959,16825,24197,29264992,110577,60247,10739,30105194,46104,16181709,46697,33871501,70668,18076634,25853,17534312,8418701
14500,255561,133891,36243,42403,39203,19704,22491,37811999,111215,61021,10821,30299697,46456,16429366,52230,34441778,47036,18187220,23737,17918117,8461508
14750,249583,136109,36962,42696,40798,17813,24596,30506618,115895,57243,10781,30402237,42569,16720704,58830,34865723,35080,18579938,23489,18160409,8834547
15000,220969,153717,36417,43863,37888,18552,32365,30942279,112452,58779,11106,30691704,55791,16949726,78255,35103611,35261,18891364,17253,18493703,8803876
15250,199018,138922,36785,46448,38820,21329,25927,31785350,117098,60866,13065,30962307,42724,17199606,57374,35589487,35747,19159376,15321,18799946,8855620
15500,194454,132731,36473,44463,36444,30650,27366,32915590,122652,58429,15381,31144996,42048,17534449,58498,36273268,34773,19485697,22024,19072922,9007308
15750,193409,134004,36394,44171,41280,26047,24236,33566602,167546,61626,18000,31574284,43556,17852321,54095,37955089,34953,19787213,24466,19413330,9140848
